Date,tmp,pr,ssn
1950-01-01,-31.42220086,1.141271236,1
1950-01-02,-33.08520122,1.21275168,1
1950-01-03,-34.5768982,2.713874827,1
1950-01-04,-34.86029503,1.411182858,1
1950-01-05,-40.57269023,0.165694429,1
1950-01-06,-40.68262489,0.028936277,1
1950-01-07,-35.77793528,0.188995967,1
1950-01-08,-35.62096243,0.684886679,1
1950-01-09,-38.28449082,0.294652583,1
1950-01-10,-36.76436219,0.019386668,1
1950-01-11,-27.75953847,0.915726222,1
1950-01-12,-16.22044633,2.56357163,1
1950-01-13,-13.59570918,1.445977474,1
1950-01-14,-14.80148372,2.536029229,1
1950-01-15,-8.177968145,2.179417965,1
1950-01-16,-13.76198435,1.034237722,1
1950-01-17,-12.26808033,0.96318774,1
1950-01-18,-6.570470657,1.039884543,1
1950-01-19,-4.807484698,1.2586046,1
1950-01-20,-2.721201495,2.312272246,1
1950-01-21,-3.870901003,0.889183482,1
1950-01-22,-6.461892273,3.149750732,1
1950-01-23,-12.61797107,1.867084543,1
1950-01-24,-15.01231504,1.680499802,1
1950-01-25,-14.41585723,1.259781216,1
1950-01-26,-21.68613578,0.55046737,1
1950-01-27,-28.63974988,0.420377996,1
1950-01-28,-34.35301221,0.248614571,1
1950-01-29,-36.57886445,0.235989907,1
1950-01-30,-38.07476222,0.064865158,1
1950-01-31,-30.96058322,0.317802178,1
1950-02-01,-16.52398315,1.32933185,1
1950-02-02,-15.09943616,0.3309966,1
1950-02-03,-12.9410908,0.056358718,1
1950-02-04,-5.367671874,0.995897244,1
1950-02-05,-6.868039835,2.860658553,1
1950-02-06,-12.86254667,0.529305019,1
1950-02-07,-15.67003926,0.100970282,1
1950-02-08,-9.16623472,1.43599934,1
1950-02-09,-11.65912631,1.326422908,1
1950-02-10,-17.5225254,0.351397698,1
1950-02-11,-10.83133064,3.350478135,1
1950-02-12,-5.007173555,2.625921915,1
1950-02-13,-12.3109516,0.989055931,1
1950-02-14,-14.75899786,2.17546025,1
1950-02-15,-14.36526623,1.606336525,1
1950-02-16,-16.88665167,0.970324035,1
1950-02-17,-13.05235361,1.911270735,1
1950-02-18,-16.83304657,1.840438608,1
1950-02-19,-20.68924886,3.831848339,1
1950-02-20,-11.318299,4.609012413,1
1950-02-21,-23.03471538,0.598494908,1
1950-02-22,-13.32102197,2.019816372,1
1950-02-23,-14.82202375,2.659296336,1
1950-02-24,-15.85649603,1.931722305,1
1950-02-25,-22.40551197,0.504668022,1
1950-02-26,-21.41287638,2.546531471,1
1950-02-27,-14.17208005,1.882199874,1
1950-02-28,-17.87378725,1.067828359,1
1950-03-01,-22.29098995,0.402375539,2
1950-03-02,-25.16131405,0.607841921,2
1950-03-03,-26.6599724,0.641136349,2
1950-03-04,-33.4583931,0.106812783,2
1950-03-05,-29.75900442,1.144157255,2
1950-03-06,-24.63017009,0.87396065,2
1950-03-07,-27.08557929,0.389759368,2
1950-03-08,-24.67943168,1.831383662,2
1950-03-09,-26.45044089,1.019505759,2
1950-03-10,-26.96808384,0.057961117,2
1950-03-11,-11.75005475,0.20799912,2
1950-03-12,-9.04176489,0.094409144,2
1950-03-13,-14.85192325,0.553423649,2
1950-03-14,-22.28255893,0.056403623,2
1950-03-15,-15.94692389,0.390132832,2
1950-03-16,-16.25245524,0.666833715,2
1950-03-17,-21.80710614,0.322096464,2
1950-03-18,-24.55807551,0.215134754,2
1950-03-19,-26.51149636,0.156408882,2
1950-03-20,-23.54747921,0.274302751,2
1950-03-21,-20.0270042,0.986433815,2
1950-03-22,-20.98611584,0.325958782,2
1950-03-23,-16.58322827,1.639242354,2
1950-03-24,-11.80298661,0.727852757,2
1950-03-25,-10.47738927,1.149152174,2
1950-03-26,-9.994616349,1.197171458,2
1950-03-27,-13.55371422,0.488381309,2
1950-03-28,-17.41559793,0.125597992,2
1950-03-29,-14.65245151,0.00655219,2
1950-03-30,-13.14307421,0.072320964,2
1950-03-31,-7.526360997,1.284639823,2
1950-04-01,-5.131464264,3.38792031,2
1950-04-02,-6.81916778,1.423593444,2
1950-04-03,-6.843837063,1.224397462,2
1950-04-04,-7.403349256,0.667568034,2
1950-04-05,-6.815898511,0.797876396,2
1950-04-06,-7.440027594,1.072859395,2
1950-04-07,-8.814730242,0.595053647,2
1950-04-08,-7.183492605,0.121677686,2
1950-04-09,-1.929822186,0.811475599,2
1950-04-10,-0.418481309,1.697759766,2
1950-04-11,-3.783614704,1.157744387,2
1950-04-12,-5.155467506,0.720298558,2
1950-04-13,-4.945254167,0.308329008,2
1950-04-14,-2.952680532,0.668621126,2
1950-04-15,-3.49527481,1.110304004,2
1950-04-16,-3.055549456,1.543718203,2
1950-04-17,-3.130925056,1.404367061,2
1950-04-18,-4.464951125,1.068445421,2
1950-04-19,-7.054209113,0.577443601,2
1950-04-20,-5.553116797,1.329283829,2
1950-04-21,-4.778705942,1.408020129,2
1950-04-22,-5.589420372,0.434530677,2
1950-04-23,-4.186656374,1.727241772,2
1950-04-24,-0.030982806,3.925613844,2
1950-04-25,0.087603254,0.35047899,2
1950-04-26,-0.60069963,0.167466693,2
1950-04-27,2.202727999,1.075124001,2
1950-04-28,-0.06360114,2.735951113,2
1950-04-29,-2.109481112,3.475105116,2
1950-04-30,-1.935366957,2.824787269,2
1950-05-01,-5.620944739,1.837379331,2
1950-05-02,-6.895357441,0.507657748,2
1950-05-03,-3.896752696,0.285351031,2
